Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
Mario Party 9,3.11 million,"March 2, 2012",Party,Nd Cube,Nintendo
Wii Music,2.86 million,"October 16, 2008",Music,Nintendo EAD (Group 2),Nintendo
Mario Strikers Charged,2.6 million,"May 25, 2007",Sports,Next Level Games,Nintendo
Mario & Sonic at the London 2012 Olympic Games,2.4 million,"November 13, 2011",Sports,Sega Sports R&D,JP: NintendoNA/PAL: Sega
WarioWare: Smooth Moves,2.35 million,"December 2, 2006",Partyrhythm,Nintendo SPD (Group 1)Intelligent Systems,Nintendo
Mario Super Sluggers,2.32 million,"June 19, 2008",Sports,Bandai Namco GamesNow Production,Nintendo
Super Mario All-Stars: 25th Anniversary Edition,2.24 million,"October 21, 2010",Platform,Nintendo EAD,Nintendo
Guitar Hero III: Legends of Rock,2 million,"October 28, 2007",Music: rhythm,Vicarious Visions,Activision
Michael Jackson: The Experience,2 million,"November 6, 2010",Music: rhythm,Ubisoft Paris,Ubisoft
Resident Evil 4: Wii Edition,2 million,"May 31, 2007",Survival horror,Capcom,JP/NA/EU: CapcomAU: Nintendo Australia
Deca Sports,2 million shipped,"April 16, 2009",Sports,Hudson Soft,JP/NA: Hudson SoftEU: Konami
Epic Mickey,2 million shipped,"November 25, 2010",Platform,Junction Point Studios,Disney Interactive StudiosJP: Nintendo
Game Party,2 million shipped,"November 27, 2007",Party,FarSight Studios,Midway Games
Mario Sports Mix,1.98 million,"November 25, 2010",Sports,Square EnixNintendo SPD (Group 4),Nintendo
Pokémon Battle Revolution,1.95 million,"December 14, 2006",Fighting,Genius Sonority,Nintendo
Monster Hunter Tri,1.9 million,"August 1, 2009",Action role-playing,Capcom Production Studio 1,Capcom
Kirby's Epic Yarn,1.85 million,"October 14, 2010",Platform,Good-FeelHAL Laboratory,Nintendo
EA Sports Active,1.8 million,"May 19, 2009",Fitness,EA Canada,Electronic Arts
Kirby's Return to Dream Land,1.79 million,"October 24, 2011",Platform,HAL Laboratory,Nintendo
New Play Control! Mario Power Tennis,1.79 million,"January 15, 2009",Sports,Camelot Software Planning,Nintendo
Carnival Games,1.5 million,"August 27, 2007",Party,Cat Daddy Games,Global Star Software
Metroid Prime 3: Corruption,1.41 million,"August 27, 2007",First-person action-adventure,Retro StudiosNintendo,Nintendo
Guitar Hero World Tour,1.33 million,"October 26, 2008",Musicrhythm,Vicarious Visions,Activision
Resident Evil: The Umbrella Chronicles,1.3 million,"November 13, 2007",Rail shooter,CapcomCavia,JP/NA/EU: CapcomAU: Nintendo Australia
Wii Play: Motion,1.26 million,"June 13, 2011",Minigame collection,Various,Nintendo
PokéPark Wii: Pikachu's Adventure,1.25 million,"December 5, 2009",Action-adventure,Creatures Inc.,NintendoThe Pokémon Company
Rayman Raving Rabbids,1.2 million,"November 19, 2006",Party,Ubisoft Montpellier,Ubisoft
We Ski,1.2 million,"January 31, 2008",Sports,Bandai Namco Games,Bandai Namco Games
Big Beach Sports,1.2 million shipped,"June 24, 2008",Sports,HB Studios,THQ
Punch-Out!!,1.14 million,"July 23, 2009",Sports,Next Level Games,Nintendo
Wario Land: Shake It!,1.06 million,"July 24, 2008",Platform,Good-Feel,Nintendo
Active Life: Outdoor Challenge,1.03 million,"May 29, 2008",Exergaming,h.a.n.d.,Bandai Namco Games
Call of Duty: World at War,>1 million,"November 10, 2008",First-person shooter,Treyarch,Activision
Red Steel,1 million,"November 19, 2006",First-person shooter,Ubisoft Paris,Ubisoft
Rock Band,1 million,"June 22, 2008",Rhythm,Pi Studios,MTV GamesElectronic Arts
Zumba Fitness,1 million,"November 18, 2010",Fitness,Pipeworks Software,Majesco Entertainment505 Games
Super Mario Bros. 3,1 million,"November 5, 2007",Platform,Nintendo EAD,Nintendo
Game Party 2,1 million shipped,"October 6, 2008",Party,FarSight Studios,Midway Games
