Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
Wii Sports,82.90 million,"November 19, 2006",Sports,Nintendo EAD (Group 2),Nintendo
Mario Kart Wii,37.38 million,"April 10, 2008",Racing,Nintendo EAD (Group 1),Nintendo
Wii Sports Resort,33.14 million,"June 25, 2009",Sports,Nintendo EAD (Group 2),Nintendo
New Super Mario Bros. Wii,30.32 million,"November 12, 2009",Platform,Nintendo EAD (Group 4),Nintendo
Wii Play,28.02 million,"December 2, 2006",Party,Nintendo EAD (Group 2),Nintendo
Wii Fit,22.67 million,"December 1, 2007",Exergaming,Nintendo EAD (Group 5),Nintendo
Wii Fit Plus,21.13 million,"October 1, 2009",Exergaming,Nintendo EAD (Group 5),Nintendo
Super Smash Bros. Brawl,13.32 million,"January 31, 2008",Fighting,Sora Ltd.ad hoc development team,Nintendo
Super Mario Galaxy,12.80 million,"November 1, 2007",Platform,Nintendo EAD (Group 1),Nintendo
Just Dance 3,9.92 million,"October 7, 2011",Rhythm,Ubisoft Paris,Ubisoft
Wii Party,9.35 million,"July 8, 2010",Party,Nd CubeNintendo SPD (Group 4),Nintendo
Mario Party 8,8.85 million,"May 29, 2007",Party,Hudson Soft,Nintendo
The Legend of Zelda: Twilight Princess,7.42 million,"November 19, 2006",Action-adventure,Nintendo EAD (Group 3),Nintendo
Super Mario Galaxy 2,7.41 million,"May 23, 2010",Platform,Nintendo EAD (Group 1),Nintendo
Mario & Sonic at the Olympic Games,7.09 million,"November 6, 2007",Sports,Sega Sports R&D,JP: NintendoNA/PAL: Sega
Donkey Kong Country Returns,6.53 million,"November 21, 2010",Platform,Retro Studios,Nintendo
Mario & Sonic at the Olympic Winter Games,6.53 million,"November 5, 2009",Sports,Sega Sports R&D,JP: NintendoNA/PAL: Sega
Link's Crossbow Training,5.79 million,"November 19, 2007",Shooter,Nintendo EAD (Group 3),Nintendo
Lego Star Wars: The Complete Saga,5.51 million,"November 6, 2007",Action-adventure,Traveller's Tales,LucasArts
Just Dance 2,5 million,"October 12, 2010",Rhythm,Ubisoft Paris,Ubisoft
Animal Crossing: City Folk,4.32 million,"November 16, 2008",Life simulation,Nintendo EAD (Group 2),Nintendo
Just Dance,4.3 million,"November 17, 2009",Rhythm,Ubisoft Paris,Ubisoft
Super Paper Mario,4.32 million,"April 9, 2007",Action role-playing: platform,Intelligent Systems,Nintendo
The Legend of Zelda: Skyward Sword,3.67 million,"November 18, 2011",Action-adventure,Nintendo EAD (Group 3),Nintendo
Big Brain Academy: Wii Degree,3.34 million,"April 26, 2007",Puzzle: educational,Nintendo EAD (Group 4),Nintendo
