Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
The Simpsons: Hit & Run,2.57 million,"September 16, 2003",Action-adventureracing,Radical Entertainment,WW: Vivendi Universal GamesPAL: Sierra Entertainment
Need for Speed: Most Wanted,2.53 million,"November 15, 2005",Racing,EA CanadaEA Black Box,Electronic Arts
Medal of Honor: Rising Sun,2.52 million,"November 11, 2003",First-person shooter,EA Los Angeles,EA Games
Dynasty Warriors 4,2.515 million,"February 27, 2003",Hack and slash,Omega Force,Koei
The Lord of the Rings: The Two Towers,2.51 million,"October 21, 2002",Actionhack and slash,Stormfront Studios,EA Games
Lego Star Wars: The Video Game,2.5 million,"April 2, 2005",Action-adventure,Traveller's Tales,Eidos InteractiveGiant Interactive Entertainment
Tekken Tag Tournament,2.467 million,"March 30, 2000",Fighting,Namco,WW: NamcoEU: Sony Computer Entertainment
Tony Hawk's Underground,2.42 million,"October 27, 2003",Sports,Neversoft,Activision
Tony Hawk's Pro Skater 3,2.4 million,"October 28, 2001",Sports,Neversoft,Activision O2
Star Wars: Battlefront II,2.33 million,"October 31, 2005",Actionthird-person shooterfirst-person shooter,Pandemic Studios,LucasArts
Madden NFL 2002,2.3 million,"August 19, 2001",Sports,EA TiburonBudcat Creations,NA/EU: EA SportsJP: Electronic Arts Square
Devil May Cry 3: Dante's Awakening,2.3 million,"February 17, 2005",Action-adventurehack and slash,Capcom,Capcom
Resident Evil 4,2.3 million,"October 25, 2005",Survival horrorthird-person shooter,Capcom Production Studio 4,Capcom
Dynasty Warriors 3,2.295 million,"September 20, 2001",Hack and slash,Omega Force,JP/NA: KoeiPAL: THQ
The Simpsons: Road Rage,2.24 million,"November 24, 2001",Vehicular combat,Radical Entertainment,Electronic Arts
SOCOM II U.S. Navy SEALs,2.171 million,"November 4, 2003",Tactical shooter,Zipper Interactive,Sony Computer Entertainment
Everybody's Golf 3,2.17 million,"July 26, 2001",Sports,Clap Hanz,Sony Computer Entertainment
Ratchet: Deadlocked,2.169 million,"October 25, 2005",Platform,Insomniac Games,Sony Computer Entertainment
Devil May Cry,2.16 million,"August 23, 2001",Action-adventurehack and slash,Capcom Production Studio 4,Capcom
Max Payne,2.128 million,"December 6, 2001",Third-person shooter,Remedy Entertainment,Rockstar Games
Need for Speed: Underground 2,2.106 million,"November 15, 2004",Racing,EA Black Box,Electronic Arts
Onimusha 2: Samurai's Destiny,2.1 million,"March 7, 2002",Action-adventurehack and slash,Capcom,Capcom
True Crime: Streets of LA,2.085 million,"November 4, 2003",Action-adventure,Luxoflux,Activision
Dragon Ball Z: Budokai 2,2.084 million,"November 14, 2003",Fighting,Dimps,JP/EU: Bandai GamesNA/AU: Atari
007: Agent Under Fire,2.07 million,"November 13, 2001",First-person shooter,EA Redwood Shores,EA Games
Onimusha: Warlords,2.02 million,"January 25, 2001",Action-adventurehack and slash,Capcom,Capcom
Pro Evolution Soccer 5,2.006 million,"August 4, 2005",Sports,Konami,Konami
Tekken 4,2.005 million,"March 28, 2002",Fighting,Namco,JP/NA: NamcoEU: Sony Computer Entertainment
ESPN NFL 2K5,2 million,"July 20, 2004",Sports,Visual Concepts,Sega
WWE SmackDown! vs. Raw,2 million,"November 2, 2004",Sports,Yuke's,WW: THQJP: Yuke's
Star Wars: Battlefront,1.995 million,"September 20, 2004",First-person shooterthird-person shooter,EA DICE,Electronic Arts
ATV Offroad Fury,1.99 million,"February 5, 2001",Racing,Rainbow Studios,Sony Computer Entertainment
NBA Live 2005,1.98 million,"September 28, 2004",Sports,EA Canada,EA Sports
Midnight Club: Street Racing,1.976 million,"October 26, 2000",Racing,Angel Studios,Rockstar Games
Spider-Man 2,1.93 million,"June 28, 2004",Action-adventure,Treyarch,Activision
Madden NFL 08,1.9 million,"August 14, 2007",Sports,EA Tiburon,EA Sports
Pro Evolution Soccer 6,1.889 million,"April 27, 2006",Sports,Konami,Konami
Dragon Ball Z: Budokai 3,1.836 million,"November 16, 2004",Fighting,Dimps,JP/EU: Bandai GamesNA/AU: Atari
Dragon Quest V: Tenku no Hanayome,1.811 million,"March 25, 2004",Role-playing,ArtePiazzaMatrix Software,Square Enix
James Bond 007: Nightfire,1.808 million,"November 18, 2002",First-person shooter,Eurocom,EA Games
Ace Combat 5: The Unsung War,1.802 million,"October 21, 2004",Combat flight simulator,Project Aces,Namco
Namco Museum,1.8 million,"December 4, 2001",Compilation,Namco,Namco
Star Wars: Episode III   Revenge of the Sith,1.771 million,"May 4, 2005",Action,The Collective,LucasArts
ATV Offroad Fury 2,1.77 million,"November 9, 2002",Racing,Rainbow Studios,NA: Sony Computer EntertainmentEU: THQ
WWE SmackDown! Shut Your Mouth,1.743 million,"October 31, 2002",Sports,Yuke's,WW: THQJP: Yuke's
Sonic Mega Collection Plus,1.74 million,"November 2, 2004",Compilation,Sonic Team,Sega
Sonic Heroes,1.72 million,"December 30, 2003",Platformaction,Sonic Team USA,Sega
Call of Duty: Finest Hour,1.714 million,"November 16, 2004",First-person shooter,Spark Unlimited,Activision
NBA Street,1.713 million,"June 18, 2001",Sports,NuFXEA Canada,EA Sports BIG
Grand Theft Auto: Liberty City Stories,1.702 million,"June 6, 2006",Action-adventure,Rockstar LeedsRockstar North,Rockstar Games
Mortal Kombat: Deadly Alliance,1.7 million,"November 16, 2002",Fighting,Midway Games,Midway Games
Devil May Cry 2,1.7 million,"January 25, 2003",Action-adventurehack and slash,Capcom,Capcom
Yakuza,1.7 million,"December 8, 2005",Action-adventure,Sega NE R&D,Sega
Enter the Matrix,1.616 million,"May 14, 2003",Action-adventurefighting,Shiny Entertainment,Infogrames
Need for Speed: Hot Pursuit 2,1.61 million,"October 1, 2002",Racing,EA Black Box,EA Games
Jak II,1.6 million,"October 14, 2003",Platformthird-person shooteraction-adventure,Naughty Dog,Sony Computer Entertainment
NBA Street Vol. 2,1.6 million,"April 28, 2003",Sports,EA Canada,EA Sports BIG
WWE SmackDown! Here Comes the Pain,1.585 million,"October 27, 2003",Sports,Yuke's,WW: THQJP: Yuke's
Gran Turismo Concept,1.56 million shipped,"January 1, 2002",Sim racing,Polyphony Digital,Sony Computer Entertainment
Guitar Hero,1.53 million,"November 7, 2005",Musicrhythm,Harmonix,RedOctane
WWE SmackDown vs. Raw 2007,1.53 million,"November 10, 2006",Sports,Yuke's,THQ
Onimusha 3: Demon Siege,1.52 million,"February 26, 2004",Action-adventurehack and slash,Capcom,Capcom
Samurai Warriors,1.509 million,"February 11, 2004",Hack and slash,Omega Force,WW: KoeiEU: Electronic Arts
Virtua Fighter 4,1.5 million,"January 31, 2002",Fighting,SEGA AM2,Sega
Tony Hawk's Underground 2,1.5 million,"October 4, 2004",Sports,Neversoft,Activision
Bully,1.5 million,"October 17, 2006",Action-adventure,Rockstar Vancouver,Rockstar Games
NBA Live 2004,1.488 million,"October 14, 2003",Sports,EA Canada,Electronic Arts
WWF SmackDown! Just Bring It,1.486 million,"November 16, 2001",Sports,Yuke's,WW: THQJP: Yuke's
Finding Nemo,1.46 million,"May 9, 2003",Action-adventure,Traveller's Tales,THQ
Resident Evil Outbreak,1.45 million,"December 11, 2003",Survival horror,Capcom Production Studio 1,Capcom
Yu-Gi-Oh! The Duelists of the Roses,1.446 million,"September 6, 2001",Card battle,Konami,Konami
Tiger Woods PGA Tour 2004,1.43 million,"September 22, 2003",Sports,EA Redwood Studios,EA Sports
Tony Hawk's Pro Skater 4,1.42 million,"October 23, 2002",Sports,Neversoft,Activision O2
The Sims,1.416 million,"January 14, 2003",Life simulation,Edge of Reality,EA Games
Hitman 2: Silent Assassin,1.412 million,"October 1, 2002",Stealth,IO Interactive,Eidos Interactive
Resident Evil   Code: Veronica X,1.4 million,"March 22, 2001",Survival horror,Capcom Production Studio 4,Capcom
Gran Turismo 4 Prologue,1.4 million,"December 4, 2003",Sim racing,Polyphony Digital,Sony Computer Entertainment
Bratz: Rock Angelz,1.4 million,"October 4, 2005",Adventure,Blitz Games,THQ
NCAA Football 06,1.39 million,"July 11, 2005",Sports,EA Tiburon,EA Sports
Crazy Taxi,1.383 million,"May 14, 2001",Racingaction,Hitmaker,Sega
Lego Star Wars II: The Original Trilogy,1.38 million,"September 12, 2006",Action-adventure,Traveller's Tales,LucasArts
The Lord of the Rings: The Return of the King,1.374 million,"November 5, 2003",Hack and slashaction role-playing,EA Redwood Shores,EA Games
Star Ocean: Till the End of Time,1.363 million,"August 31, 2004",Action role-playing,tri-Ace,EnixSquare Enix
Burnout 3: Takedown,1.338 million,"September 7, 2004",Racing,Criterion Games,EA Games
Jak 3,1.33 million,"November 9, 2004",Platformthird-person shooteraction-adventure,Naughty Dog,Sony Computer Entertainment
Tom Clancy's Ghost Recon,1.329 million,"December 1, 2002",Tactical shooter,Red Storm Entertainment,Ubi Soft
NCAA Football 07,1.32 million,"July 18, 2006",Sports,EA Tiburon,EA Sports
Madagascar,1.31 million,"May 23, 2005",Action-adventure,Toys for Bob,Activision
Soulcalibur II,1.31 million,"March 27, 2003",Fighting,Project Soul,Namco
Shrek 2,1.3 million,"April 28, 2004",Action-adventure,Luxoflux,Activision
Midnight Club II,1.28 million,"April 9, 2003",Racing,Rockstar San Diego,Rockstar Games
NCAA Football 2004,1.28 million,"July 16, 2003",Sports,EA Tiburon,EA Sports
NBA Live 06,1.278 million,"September 26, 2005",Sports,EA Canada,EA Sports
NFL Blitz Pro,1.27 million,"October 28, 2003",Sports,Midway Games,Midway Games
Everybody's Golf 4,1.25 million,"November 27, 2003",Sports,Clap Hanz,Sony Computer Entertainment
Dirge of Cerberus: Final Fantasy VII,1.245 million,"January 26, 2006",Action role-playingthird-person shooter,Square EnixMonolith Soft,Square Enix
Madden NFL 2001,1.236 million,"October 26, 2000",Sports,EA Tiburon,NA/EU: EA SportsJP: Electronic Arts Square
Scarface: The World Is Yours,1.22 million,"October 8, 2006",Action-adventure,Radical Entertainment,Vivendi Games
Pac-Man World 2,1.21 million,"February 24, 2002",Platform,Namco Hometek,WW: NamcoEU: Sony Computer Entertainment
Dark Cloud,1.2 million shipped,"December 14, 2000",Action role-playing,Level-5,Sony Computer Entertainment
NBA Live 2003,1.191 million,"October 8, 2002",Sports,EA Canada,EA Sports
ESPN NBA 2K5,1.19 million,"September 30, 2004",Sports,Visual Concepts,Sega
Dragon Ball Z: Budokai Tenkaichi 2,1.18 million,"October 5, 2006",Fighting,Spike,JP/EU: Namco Bandai GamesNA/AU: Atari
Tom Clancy's Splinter Cell,1.178 million,"March 28, 2003",Stealth,Ubi Soft Shanghai,Ubi Soft
Scooby-Doo! Night of 100 Frights,1.17 million,"May 20, 2002",Platform,Heavy Iron Studios,THQ
Jissen Pachi-Slot Hisshoho! Hokuto no Ken,1.15 million,"May 27, 2004",Pachinko,Un known,Un known
MVP Baseball 2005,1.14 million,"February 22, 2005",Sports,EA Canada,Electronic Arts
Twisted Metal: Black,1.12 million,"June 18, 2001",Vehicular combat,Incognito Entertainment,Sony Computer Entertainment
Fight Night 2004,1.1 million,"April 5, 2004",Sports,EA CanadaNuFX,EA Sports
Midnight Club 3: Dub Edition,1.1 million,"April 11, 2005",Racing,Rockstar San Diego,Rockstar Games
DDRMAX2 Dance Dance Revolution,1.09 million,"September 23, 2003",Musicexergaming,Konami,Konami
Spy Hunter,1.07 million,"September 24, 2001",Vehicular combat,Paradigm Entertainment,Midway Games
Naruto: Ultimate Ninja 2,1.063 million,"September 30, 2004",Fighting,CyberConnect2,JP: BandaiNA/EU/AU: Namco Bandai Games
Harry Potter and the Chamber of Secrets,1.046 million,"November 14, 2002",Action-adventure,Eurocom,EA Games
The Incredibles,1.04 million,"October 31, 2004",Action-adventure,Heavy Iron Studios,THQ
MVP Baseball 2004,1.02 million,"March 9, 2004",Sports,EA Canada,EA Sports
Silent Hill 2,1 million,"September 24, 2001",Survival horror,Konami Computer Entertainment Tokyo (Team Silent),Konami
Xenosaga Episode I: Der Wille zur Macht,1 million,"February 28, 2002",Role-playing,Monolith Soft,Namco
NCAA Football 2003,1 million,"July 20, 2002",Sports,EA Tiburon,EA Sports
Sly Cooper and the Thievius Raccoonus,1 million,"September 23, 2002",Platformstealth,Sucker Punch Productions,Sony Computer Entertainment
Guitar Hero Encore: Rocks the 80s,1 million,"July 24, 2007",Musicrhythm,Harmonix,Activision
