Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
Grand Theft Auto: San Andreas,17.33 million,"October 26, 2004",Action-adventure,Rockstar North,WW: Rockstar GamesJP: Capcom
Gran Turismo 3: A-Spec,14.89 million,"April 28, 2001",Racing,Polyphony Digital,Sony Computer Entertainment
Gran Turismo 4,11.76 million,"December 28, 2004",Racing,Polyphony Digital,Sony Computer Entertainment
Grand Theft Auto: Vice City,10.5 million,"October 27, 2002",Action-adventure,Rockstar North,WW: Rockstar GamesJP: Capcom
Final Fantasy X,8.5 million,"July 19, 2001",Role-playing,Square Product Development Division 1,JP: SquareNA: Square Electronic ArtsPAL: Sony Computer Entertainment
Grand Theft Auto III,8.305 million,"October 22, 2001",Action-adventure,DMA Design,WW: Rockstar GamesJP: Capcom
Metal Gear Solid 2: Sons of Liberty,7.03 million,"November 12, 2001",Action-adventurestealth,Konami Computer Entertainment Japan,Konami
Tekken 5,6 million,"March 31, 2005",Fighting,Namco,WW: NamcoEU: Sony Computer Entertainment
Final Fantasy XII,6 million,"March 16, 2006",Role-playing,Square Enix,Square Enix
Kingdom Hearts,5.9 million,"March 28, 2002",Action role-playing,Square,JP: SquareNA: Square Electronic ArtsEU: Sony Computer Entertainment
Final Fantasy X-2,5.4 million,"March 13, 2003",Role-playing,Square Product Development Division 1,JP: SquareNA/PAL: Square Enix
Dragon Quest VIII: Journey of the Cursed King,4.88 million,"November 27, 2004",Role-playing,Level-5,Square Enix
Kingdom Hearts II,4.757 million,"December 22, 2005",Action role-playing,Square Enix Product Development Division 1,Square Enix
God of War,4.61 million,"March 22, 2005",Action-adventurehack and slash,Santa Monica Studio,WW: Sony Computer EntertainmentJP: Capcom
Madden NFL 2005,4.35 million,"August 9, 2004",Sports,EA Tiburon,EA Sports
God of War II,4.24 million,"March 13, 2007",Action-adventurehack and slash,Santa Monica Studio,WW: Sony Computer EntertainmentJP: Capcom
Jak and Daxter: The Precursor Legacy,4.2 million,"December 3, 2001",Platform,Naughty Dog,Sony Computer Entertainment
EyeToy: Play,4 million,"July 4, 2003",Party,London Studio,Sony Computer Entertainment
Metal Gear Solid 3: Snake Eater,4 million,"November 17, 2004",Action-adventurestealth,Konami Computer Entertainment Japan,Konami
Madden NFL 2004,3.95 million,"August 12, 2003",Sports,EA Tiburon,EA Sports
Madden NFL 06,3.77 million,"August 8, 2005",Sports,EA Tiburon,EA Sports
Ratchet & Clank,3.71 million,"November 4, 2002",Platform,Insomniac Games,Sony Computer Entertainment
Need for Speed: Underground,3.69 million,"November 17, 2003",Racing,EA Black Box,EA Games
Medal of Honor: Frontline,3.55 million,"May 28, 2002",First-person shooter,EA Los Angeles,EA Games
Guitar Hero II,3.41 million,"November 7, 2006",Musicrhythm,Harmonix,RedOctane
Pro Evolution Soccer 3,3.271 million,"August 7, 2003",Sports,Konami Computer Entertainment Tokyo,Konami
Guitar Hero III: Legends of Rock,3.234 million,"October 28, 2007",Musicrhythm,Neversoft,Activision
Ratchet & Clank: Up Your Arsenal,3.218 million,"November 3, 2004",Platform,Insomniac Games,Sony Computer Entertainment
Madden NFL 2003,3.18 million,"August 12, 2002",Sports,EA TiburonBudcat Creations,EA Sports
Pro Evolution Soccer 4,3.133 million,"August 5, 2004",Sports,Konami Computer Entertainment Tokyo,Konami
The Getaway,3 million,"December 11, 2002",Action-adventure,Team Soho,Sony Computer Entertainment
Dragon Ball Z: Budokai Tenkaichi 3,3 million,"October 4, 2007",Fighting,Spike,JP/EU: Namco Bandai GamesNA/AU: Atari
Ratchet & Clank: Going Commando,2.966 million,"November 11, 2003",Platform,Insomniac Games,Sony Computer Entertainment
WWE SmackDown! vs. Raw 2006,2.9 million,"November 11, 2005",Sports,Yuke's,WW: THQJP: Yuke's
Pro Evolution Soccer 2,2.859 million,"April 25, 2002",Sports,Konami Computer Entertainment Tokyo,Konami
Spider-Man,2.81 million,"April 15, 2002",Action-adventure,Treyarch,Activision
Madden NFL 07,2.8 million,"August 22, 2006",Sports,EA Tiburon,EA Sports
SOCOM U.S. Navy SEALs,2.78 million,"August 27, 2002",Tactical shooter,Zipper Interactive,Sony Computer Entertainment
Crash Bandicoot: The Wrath of Cortex,2.763 million,"October 29, 2001",Platform,Traveller's Tales,Universal Interactive Studios
Ace Combat 04: Shattered Skies,2.64 million,"September 13, 2001",Combat flight simulator,Namco,Namco
Dragon Ball Z: Budokai,2.61 million,"November 29, 2002",Fighting,Dimps,JP/EU: Bandai GamesNA/AU: Infogrames
