Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
Demon's Souls,1.4 million,"November 12, 2020",Action role-playing,Bluepoint Games,Sony Interactive Entertainment
Ratchet & Clank: Rift Apart,1.1 million,"June 11, 2021","Platform, third-person shooter",Insomniac Games,Sony Interactive Entertainment
Returnal,560 thousand,"April 30, 2021","Roguelike, third-person shooter, adventure",Housemarque and Climax Studios,Sony Interactive Entertainment
