Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
Grand Theft Auto V,29.52 million,"September 17, 2013",Action-adventure,Rockstar North,Rockstar Games
Gran Turismo 5,11.95 million,"November 24, 2010",Sim racing,Polyphony Digital,Sony Computer Entertainment
The Last of Us,7 million,"June 14, 2013",Action-adventure survival horror,Naughty Dog,Sony Computer Entertainment
Uncharted 3: Drake's Deception,6.6 million,"November 1, 2011",Action-adventure third-person shooter,Naughty Dog,Sony Computer Entertainment
Uncharted 2: Among Thieves,6.5 million,"October 13, 2009",Action-adventure third-person shooter,Naughty Dog,Sony Computer Entertainment
Metal Gear Solid 4: Guns of the Patriots,6 million,"June 12, 2008",Action-adventure stealth,Kojima Productions,Konami
Gran Turismo 5 Prologue,5.35 million,"December 13, 2007",Sim racing,Polyphony Digital,Sony Computer Entertainment
God of War III,5.2 million,"March 16, 2010",Action-adventure hack and slash,Santa Monica Studio,Sony Computer Entertainment
Gran Turismo 6,5.06 million,"December 6, 2013",Sim racing,Polyphony Digital,Sony Computer Entertainment
Call of Duty: Modern Warfare 2,4.8 million,"November 10, 2009",First-person shooter,Infinity Ward,Activision
Uncharted: Drake's Fortune,4.8 million,"November 16, 2007",Action-adventure third-person shooter,Naughty Dog,Sony Computer Entertainment
Grand Theft Auto IV,4.33 million,"April 29, 2008",Action-adventure,Rockstar North,Rockstar Games
MotorStorm,3.31 million,"December 14, 2006",Racing,Evolution Studios,Sony Computer Entertainment
Call of Duty: Black Ops,3.269 million,"November 9, 2010",First-person shooter,Treyarch,Activision
Heavy Rain,3.03 million,"February 23, 2010",Interactive drama action-adventure,Quantic Dream,Sony Computer Entertainment
LittleBigPlanet,3 million,"October 27, 2008",Puzzle-platformer sandbox,Media Molecule,Sony Computer Entertainment
Final Fantasy XIII,2.97 million,"December 17, 2009",Role-playing,Square Enix 1st Production Department,Square Enix
Beyond: Two Souls,2.8 million,"October 8, 2013",Interactive drama action-adventure,Quantic Dream,Sony Computer Entertainment
Resistance: Fall of Man,2.5 million,"November 14, 2006",First-person shooter,Insomniac Games,Sony Computer Entertainment
God of War Collection,2.42 million,"November 17, 2009",Action-adventure hack and slash,Santa Monica StudioBluepoint Games,WW: Sony Computer EntertainmentJP: Capcom
Lego Star Wars: The Complete Saga,2.16 million,"November 6, 2007",Action-adventure,Traveller's Tales,LucasArts
Killzone 2,2 million,"February 26, 2009",First-person shooter,Guerrilla Games,Sony Computer Entertainment
inFAMOUS,~2 million,"May 26, 2009",Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,1.977 million,"November 5, 2007",First-person shooter,Infinity Ward,Activision
Call of Duty: World at War,1.83 million,"November 11, 2008",First-person shooter,Treyarch,Activision
Demon's Souls,1.7 million,"February 5, 2009",Action role-playing,FromSoftware,JP: Sony Computer EntertainmentNA: Atlus USAPAL: Namco Bandai Games
Resident Evil 5,1.62 million,"March 5, 2009",Third-person shooter,Capcom,Capcom
Heavenly Sword,1.5 million,"September 12, 2007",Action-adventure hack and slash,Ninja Theory,Sony Computer Entertainment
Minecraft: PlayStation 3 Edition,1.5 million,"December 17, 2013",Sandbox survival,4J Studios,Sony Computer Entertainment
Red Dead Redemption,1.35 million,"May 18, 2010",Action-adventure,Rockstar San Diego,Rockstar Games
Ratchet & Clank Future: Tools of Destruction,1.25 million,"October 23, 2007",Platformaction-adventure,Insomniac Games,Sony Computer Entertainment
Ni no Kuni: Wrath of the White Witch,1.1 million,"November 17, 2011",Role-playing,Level-5,WW: Namco Bandai GamesJP: Level-5
MotorStorm: Pacific Rift,1 million,"October 28, 2008",Racing,Evolution Studios,Sony Computer Entertainment
